T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:26:51
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:26:56
0,0,100,100,100,100,100,100,'2021/8/31 8:27:05
0,0,100,100,100,100,100,100,'2021/8/31 8:27:09
0,0,100,100,100,100,100,100,'2021/8/31 8:27:25
0,0,100,100,100,100,100,100,'2021/8/31 8:27:29
0,0,100,100,100,100,100,100,'2021/8/31 8:27:33
0,0,100,100,100,100,100,100,'2021/8/31 8:27:37
0,0,100,100,100,100,100,100,'2021/8/31 8:27:41
0,0,100,100,100,100,100,100,'2021/8/31 8:27:45
0,0,100,100,100,100,100,100,'2021/8/31 8:27:49
0,0,100,100,100,100,100,100,'2021/8/31 8:27:53
0,0,100,100,100,100,100,100,'2021/8/31 8:27:57
0,0,100,100,100,100,100,100,'2021/8/31 8:28:01
0,0,100,100,100,100,100,100,'2021/8/31 8:28:05
0,0,100,100,100,100,100,100,'2021/8/31 8:28:09
0,0,100,100,100,100,100,100,'2021/8/31 8:28:15
0,0,100,100,100,100,100,100,'2021/8/31 8:28:19
0,0,100,100,100,100,100,100,'2021/8/31 8:28:25
0,0,100,100,100,100,100,100,'2021/8/31 8:28:29
0,0,100,100,100,100,100,100,'2021/8/31 8:28:35
0,0,100,100,100,100,100,100,'2021/8/31 8:28:39
0,0,100,100,100,100,100,100,'2021/8/31 8:28:45
0,0,100,100,100,100,100,100,'2021/8/31 8:28:49
0,0,100,100,100,100,100,100,'2021/8/31 8:28:53
0,0,100,100,100,100,100,100,'2021/8/31 8:28:59
0,0,100,100,100,100,100,100,'2021/8/31 8:29:03
0,0,100,100,100,100,100,100,'2021/8/31 8:29:09
0,0,100,100,100,100,100,100,'2021/8/31 8:29:13
0,0,100,100,100,100,100,100,'2021/8/31 8:29:19
0,0,100,100,100,100,100,100,'2021/8/31 8:29:23
0,0,100,100,100,100,100,100,'2021/8/31 8:29:29
0,0,100,100,100,100,100,100,'2021/8/31 8:29:33
0,0,100,100,100,100,100,100,'2021/8/31 8:29:39
0,0,100,100,100,100,100,100,'2021/8/31 8:29:43
0,0,100,100,100,100,100,100,'2021/8/31 8:29:49
0,0,100,100,100,100,100,100,'2021/8/31 8:29:53
