T1,T2,RH,time
18.6,15.73,73.57,'2021/12/9 0:29:27
18.64,15.64,73.71,'2021/12/9 0:29:28
18.61,15.68,73.6,'2021/12/9 0:29:29
18.67,15.63,73.83,'2021/12/9 0:29:30
18.6,15.67,73.6,'2021/12/9 0:29:31
18.64,15.67,73.86,'2021/12/9 0:29:32
18.61,15.7,73.86,'2021/12/9 0:29:33
18.6,15.67,73.77,'2021/12/9 0:29:34
18.64,15.67,73.6,'2021/12/9 0:29:35
18.6,15.67,73.31,'2021/12/9 0:29:36
18.64,15.63,73.86,'2021/12/9 0:29:37
18.64,15.7,73.86,'2021/12/9 0:29:38
18.64,15.67,73.84,'2021/12/9 0:29:39
18.64,15.67,73.86,'2021/12/9 0:29:40
18.64,15.67,73.65,'2021/12/9 0:29:41
18.61,15.7,73.89,'2021/12/9 0:29:42
18.6,15.7,73.6,'2021/12/9 0:29:43
18.6,15.67,73.45,'2021/12/9 0:29:44
18.64,15.67,73.86,'2021/12/9 0:29:45
18.64,15.67,73.6,'2021/12/9 0:29:46
18.63,15.7,74.14,'2021/12/9 0:29:47
18.64,15.63,73.57,'2021/12/9 0:29:48
18.64,15.67,73.82,'2021/12/9 0:29:49
18.6,15.67,73.88,'2021/12/9 0:29:50
18.6,15.67,73.34,'2021/12/9 0:29:52
18.64,15.63,74.14,'2021/12/9 0:29:53
18.64,15.67,73.31,'2021/12/9 0:29:54
18.6,15.67,73.6,'2021/12/9 0:29:55
18.62,15.67,73.62,'2021/12/9 0:29:56
18.6,15.67,73.86,'2021/12/9 0:29:57
18.64,15.69,73.84,'2021/12/9 0:29:58
18.64,15.69,73.86,'2021/12/9 0:29:59
18.6,15.67,74.12,'2021/12/9 0:30:00
18.6,15.67,73.8,'2021/12/9 0:30:01
18.61,15.68,73.6,'2021/12/9 0:30:02
18.64,15.63,73.57,'2021/12/9 0:30:03
18.6,15.67,73.99,'2021/12/9 0:30:04
18.6,15.67,73.75,'2021/12/9 0:30:05
18.64,15.7,73.6,'2021/12/9 0:30:06
18.64,15.67,74.04,'2021/12/9 0:30:07
18.64,15.7,73.6,'2021/12/9 0:30:08
18.64,15.65,73.57,'2021/12/9 0:30:09
18.64,15.67,73.89,'2021/12/9 0:30:10
18.64,15.7,73.65,'2021/12/9 0:30:11
18.64,15.7,73.88,'2021/12/9 0:30:12
18.6,15.63,74.14,'2021/12/9 0:30:13
18.64,15.67,73.34,'2021/12/9 0:30:14
18.6,15.67,73.86,'2021/12/9 0:30:15
18.62,15.67,73.39,'2021/12/9 0:30:16
18.6,15.7,74.13,'2021/12/9 0:30:17
18.6,15.67,74.14,'2021/12/9 0:30:18
18.6,15.67,73.81,'2021/12/9 0:30:19
18.64,15.68,73.59,'2021/12/9 0:30:20
18.63,15.7,73.86,'2021/12/9 0:30:21
18.64,15.63,74.14,'2021/12/9 0:30:22
18.63,15.67,74.1,'2021/12/9 0:30:23
18.62,15.67,74.12,'2021/12/9 0:30:24
18.6,15.69,73.85,'2021/12/9 0:30:25
18.63,15.67,73.88,'2021/12/9 0:30:26
18.6,15.7,73.85,'2021/12/9 0:30:27
18.6,15.67,73.62,'2021/12/9 0:30:28
18.64,15.67,73.86,'2021/12/9 0:30:29
18.64,15.7,74.14,'2021/12/9 0:30:30
18.6,15.7,73.88,'2021/12/9 0:30:31
18.64,15.69,73.86,'2021/12/9 0:30:32
18.64,15.68,73.75,'2021/12/9 0:30:33
18.6,15.67,73.86,'2021/12/9 0:30:34
18.62,15.7,73.6,'2021/12/9 0:30:35
18.62,15.67,74.14,'2021/12/9 0:30:36
18.64,15.67,73.6,'2021/12/9 0:30:37
18.64,15.69,73.97,'2021/12/9 0:30:38
18.6,15.7,74.14,'2021/12/9 0:30:39
18.63,15.7,73.8,'2021/12/9 0:30:40
18.6,15.67,74.06,'2021/12/9 0:30:41
18.64,15.7,74.14,'2021/12/9 0:30:42
18.63,15.63,73.93,'2021/12/9 0:30:43
18.6,15.67,73.62,'2021/12/9 0:30:44
18.6,15.67,74.14,'2021/12/9 0:30:45
18.6,15.63,73.97,'2021/12/9 0:30:46
18.6,15.67,73.6,'2021/12/9 0:30:47
18.6,15.7,73.6,'2021/12/9 0:30:48
18.6,15.63,73.86,'2021/12/9 0:30:49
18.6,15.67,73.86,'2021/12/9 0:30:50
18.64,15.7,73.86,'2021/12/9 0:30:51
18.6,15.67,73.86,'2021/12/9 0:30:52
18.6,15.63,73.6,'2021/12/9 0:30:53
18.64,15.67,73.86,'2021/12/9 0:30:54
18.64,15.7,73.6,'2021/12/9 0:30:55
18.64,15.67,74.14,'2021/12/9 0:30:56
18.58,15.7,74.14,'2021/12/9 0:30:57
18.63,15.67,73.86,'2021/12/9 0:30:58
18.6,15.67,73.98,'2021/12/9 0:30:59
18.6,15.67,74.12,'2021/12/9 0:31:00
18.64,15.67,73.53,'2021/12/9 0:31:01
18.6,15.67,74.14,'2021/12/9 0:31:02
18.64,15.67,74.14,'2021/12/9 0:31:03
18.64,15.63,73.61,'2021/12/9 0:31:04
18.64,15.64,73.6,'2021/12/9 0:31:05
18.64,15.67,73.6,'2021/12/9 0:31:06
18.6,15.63,73.77,'2021/12/9 0:31:07
18.64,15.7,73.79,'2021/12/9 0:31:08
18.64,15.7,73.5,'2021/12/9 0:31:09
18.6,15.67,73.76,'2021/12/9 0:31:10
18.64,15.7,73.6,'2021/12/9 0:31:11
18.61,15.73,73.6,'2021/12/9 0:31:12
18.64,15.63,73.6,'2021/12/9 0:31:13
18.6,15.67,73.31,'2021/12/9 0:31:14
18.64,15.67,73.44,'2021/12/9 0:31:15
18.64,15.63,73.86,'2021/12/9 0:31:16
18.64,15.63,73.55,'2021/12/9 0:31:17
18.63,15.67,73.86,'2021/12/9 0:31:18
18.6,15.63,73.86,'2021/12/9 0:31:19
18.62,15.67,73.86,'2021/12/9 0:31:20
18.6,15.63,74.09,'2021/12/9 0:31:21
18.64,15.67,73.86,'2021/12/9 0:31:22
18.6,15.65,73.4,'2021/12/9 0:31:23
18.63,15.67,73.8,'2021/12/9 0:31:24
18.6,15.67,73.37,'2021/12/9 0:31:25
18.6,15.67,73.61,'2021/12/9 0:31:26
18.62,15.67,73.6,'2021/12/9 0:31:27
18.63,15.67,73.57,'2021/12/9 0:31:28
18.6,15.67,73.86,'2021/12/9 0:31:29
18.6,15.63,73.86,'2021/12/9 0:31:31
18.63,15.67,73.83,'2021/12/9 0:31:32
18.6,15.67,74.14,'2021/12/9 0:31:33
18.6,15.67,73.43,'2021/12/9 0:31:34
18.64,15.67,73.76,'2021/12/9 0:31:35
18.64,15.69,74.1,'2021/12/9 0:31:36
18.62,15.67,73.33,'2021/12/9 0:31:37
18.64,15.66,73.42,'2021/12/9 0:31:38
18.64,15.67,73.86,'2021/12/9 0:31:39
18.64,15.7,73.77,'2021/12/9 0:31:40
18.6,15.67,73.31,'2021/12/9 0:31:41
18.64,15.67,73.31,'2021/12/9 0:31:42
18.6,15.67,74.14,'2021/12/9 0:31:43
18.6,15.67,73.7,'2021/12/9 0:31:44
18.64,15.67,73.69,'2021/12/9 0:31:45
18.64,15.63,73.97,'2021/12/9 0:31:46
18.64,15.67,73.86,'2021/12/9 0:31:47
18.63,15.7,73.8,'2021/12/9 0:31:48
18.6,15.67,73.86,'2021/12/9 0:31:49
18.6,15.67,73.75,'2021/12/9 0:31:50
18.61,15.67,73.86,'2021/12/9 0:31:51
18.6,15.67,73.6,'2021/12/9 0:31:52
18.67,15.67,73.6,'2021/12/9 0:31:53
18.6,15.67,73.73,'2021/12/9 0:31:54
18.62,15.67,73.35,'2021/12/9 0:31:55
18.64,15.67,73.86,'2021/12/9 0:31:56
18.6,15.67,73.86,'2021/12/9 0:31:57
18.64,15.7,73.86,'2021/12/9 0:31:58
18.6,15.63,73.86,'2021/12/9 0:31:59
18.63,15.64,73.86,'2021/12/9 0:32:00
18.6,15.67,73.31,'2021/12/9 0:32:01
18.63,15.67,74.08,'2021/12/9 0:32:02
18.6,15.7,73.78,'2021/12/9 0:32:03
18.64,15.67,73.62,'2021/12/9 0:32:04
18.64,15.67,74.14,'2021/12/9 0:32:05
18.6,15.63,73.31,'2021/12/9 0:32:06
18.64,15.65,73.37,'2021/12/9 0:32:07
18.64,15.67,73.75,'2021/12/9 0:32:08
18.61,15.67,73.48,'2021/12/9 0:32:09
18.64,15.67,73.62,'2021/12/9 0:32:10
18.6,15.65,73.6,'2021/12/9 0:32:11
18.6,15.63,73.86,'2021/12/9 0:32:12
18.63,15.66,73.68,'2021/12/9 0:32:13
18.64,15.63,73.6,'2021/12/9 0:32:14
18.64,15.67,73.86,'2021/12/9 0:32:15
18.64,15.7,73.42,'2021/12/9 0:32:16
18.64,15.63,73.6,'2021/12/9 0:32:17
18.61,15.67,73.62,'2021/12/9 0:32:18
18.64,15.69,73.86,'2021/12/9 0:32:19
18.61,15.65,73.6,'2021/12/9 0:32:20
18.67,15.7,73.57,'2021/12/9 0:32:21
18.6,15.67,73.86,'2021/12/9 0:32:22
18.64,15.7,73.63,'2021/12/9 0:32:23
18.6,15.63,73.86,'2021/12/9 0:32:24
18.6,15.7,73.86,'2021/12/9 0:32:25
18.64,15.67,73.97,'2021/12/9 0:32:26
18.64,15.67,73.4,'2021/12/9 0:32:27
18.6,15.67,73.46,'2021/12/9 0:32:28
18.64,15.67,74.01,'2021/12/9 0:32:29
18.6,15.67,73.57,'2021/12/9 0:32:30
18.64,15.63,74.12,'2021/12/9 0:32:31
18.64,15.67,73.88,'2021/12/9 0:32:32
18.64,15.67,73.6,'2021/12/9 0:32:33
18.64,15.66,73.93,'2021/12/9 0:32:34
18.6,15.67,73.86,'2021/12/9 0:32:35
18.64,15.7,73.88,'2021/12/9 0:32:36
18.67,15.67,73.86,'2021/12/9 0:32:37
18.62,15.69,73.81,'2021/12/9 0:32:38
18.64,15.67,73.34,'2021/12/9 0:32:39
18.6,15.67,73.6,'2021/12/9 0:32:40
18.6,15.63,73.43,'2021/12/9 0:32:41
18.6,15.63,73.86,'2021/12/9 0:32:42
18.67,15.67,73.86,'2021/12/9 0:32:43
18.64,15.63,73.6,'2021/12/9 0:32:44
18.6,15.67,73.84,'2021/12/9 0:32:45
18.62,15.67,73.6,'2021/12/9 0:32:46
18.6,15.67,73.75,'2021/12/9 0:32:47
18.64,15.67,73.86,'2021/12/9 0:32:48
18.64,15.67,73.67,'2021/12/9 0:32:49
18.64,15.67,73.86,'2021/12/9 0:32:50
18.64,15.67,73.83,'2021/12/9 0:32:51
18.64,15.63,73.86,'2021/12/9 0:32:52
18.64,15.67,73.31,'2021/12/9 0:32:53
18.64,15.63,73.88,'2021/12/9 0:32:54
18.6,15.67,73.78,'2021/12/9 0:32:55
18.6,15.63,73.31,'2021/12/9 0:32:56
18.6,15.63,73.49,'2021/12/9 0:32:57
18.64,15.67,73.6,'2021/12/9 0:32:58
18.6,15.67,73.82,'2021/12/9 0:32:59
18.6,15.67,73.31,'2021/12/9 0:33:00
18.64,15.67,73.57,'2021/12/9 0:33:01
18.64,15.67,73.6,'2021/12/9 0:33:02
18.6,15.67,73.6,'2021/12/9 0:33:03
18.64,15.67,73.29,'2021/12/9 0:33:04
18.6,15.63,73.86,'2021/12/9 0:33:05
18.67,15.7,73.6,'2021/12/9 0:33:06
18.64,15.67,73.47,'2021/12/9 0:33:07
18.6,15.65,73.63,'2021/12/9 0:33:08
18.64,15.63,73.67,'2021/12/9 0:33:09
18.64,15.64,73.31,'2021/12/9 0:33:10
18.66,15.67,73.6,'2021/12/9 0:33:12
18.6,15.67,73.6,'2021/12/9 0:33:13
18.67,15.67,73.61,'2021/12/9 0:33:14
18.6,15.67,73.31,'2021/12/9 0:33:15
18.64,15.66,73.31,'2021/12/9 0:33:16
18.64,15.63,73.31,'2021/12/9 0:33:17
18.64,15.67,73.71,'2021/12/9 0:33:18
18.62,15.63,73.82,'2021/12/9 0:33:19
18.64,15.67,73.6,'2021/12/9 0:33:20
18.64,15.67,73.7,'2021/12/9 0:33:21
18.64,15.67,73.34,'2021/12/9 0:33:22
18.64,15.67,73.86,'2021/12/9 0:33:23
18.64,15.67,73.6,'2021/12/9 0:33:24
18.64,15.67,73.43,'2021/12/9 0:33:25
18.6,15.69,73.57,'2021/12/9 0:33:26
18.64,15.67,73.6,'2021/12/9 0:33:27
18.6,15.63,73.05,'2021/12/9 0:33:28
18.6,15.67,73.54,'2021/12/9 0:33:29
18.64,15.67,73.31,'2021/12/9 0:33:30
18.62,15.67,73.88,'2021/12/9 0:33:31
18.64,15.63,73.84,'2021/12/9 0:33:32
18.64,15.67,73.42,'2021/12/9 0:33:33
18.64,15.63,73.86,'2021/12/9 0:33:34
18.64,15.67,73.33,'2021/12/9 0:33:35
18.64,15.63,73.8,'2021/12/9 0:33:36
18.6,15.63,73.57,'2021/12/9 0:33:37
18.64,15.67,73.57,'2021/12/9 0:33:38
18.59,15.63,73.6,'2021/12/9 0:33:39
18.6,15.67,73.86,'2021/12/9 0:33:40
18.64,15.63,73.6,'2021/12/9 0:33:41
18.6,15.64,73.86,'2021/12/9 0:33:42
18.62,15.67,73.6,'2021/12/9 0:33:43
18.6,15.67,73.31,'2021/12/9 0:33:44
18.64,15.67,73.31,'2021/12/9 0:33:45
18.6,15.67,73.86,'2021/12/9 0:33:46
18.64,15.67,73.94,'2021/12/9 0:33:47
18.6,15.67,73.6,'2021/12/9 0:33:48
18.6,15.67,73.86,'2021/12/9 0:33:49
18.64,15.63,73.6,'2021/12/9 0:33:50
18.6,15.63,73.6,'2021/12/9 0:33:51
18.64,15.67,73.6,'2021/12/9 0:33:52
18.6,15.63,73.6,'2021/12/9 0:33:53
18.64,15.67,73.6,'2021/12/9 0:33:54
18.6,15.67,73.34,'2021/12/9 0:33:55
18.67,15.67,73.6,'2021/12/9 0:33:56
18.64,15.66,73.46,'2021/12/9 0:33:57
18.6,15.67,73.41,'2021/12/9 0:33:58
18.64,15.67,73.65,'2021/12/9 0:33:59
18.64,15.67,73.47,'2021/12/9 0:34:00
18.64,15.63,73.33,'2021/12/9 0:34:01
18.64,15.67,73.86,'2021/12/9 0:34:02
18.6,15.63,73.82,'2021/12/9 0:34:03
18.64,15.67,73.69,'2021/12/9 0:34:04
18.6,15.67,73.31,'2021/12/9 0:34:05
18.67,15.67,73.42,'2021/12/9 0:34:06
18.6,15.67,73.86,'2021/12/9 0:34:07
18.6,15.67,73.6,'2021/12/9 0:34:08
18.64,15.67,73.72,'2021/12/9 0:34:09
18.6,15.67,73.49,'2021/12/9 0:34:10
18.62,15.67,73.6,'2021/12/9 0:34:11
18.6,15.67,73.88,'2021/12/9 0:34:12
18.64,15.65,73.84,'2021/12/9 0:34:13
18.58,15.63,74.14,'2021/12/9 0:34:14
18.64,15.67,73.88,'2021/12/9 0:34:15
18.64,15.67,73.72,'2021/12/9 0:34:16
18.6,15.68,73.83,'2021/12/9 0:34:17
18.6,15.64,73.79,'2021/12/9 0:34:18
18.63,15.67,73.6,'2021/12/9 0:34:19
18.64,15.67,73.86,'2021/12/9 0:34:20
18.6,15.67,73.69,'2021/12/9 0:34:21
18.64,15.67,73.57,'2021/12/9 0:34:22
18.64,15.65,73.6,'2021/12/9 0:34:23
18.6,15.7,73.44,'2021/12/9 0:34:24
18.64,15.67,73.61,'2021/12/9 0:34:25
18.6,15.63,73.57,'2021/12/9 0:34:26
18.6,15.67,74.03,'2021/12/9 0:34:27
18.64,15.67,73.7,'2021/12/9 0:34:28
18.64,15.67,73.73,'2021/12/9 0:34:29
18.6,15.64,73.77,'2021/12/9 0:34:30
18.64,15.7,73.57,'2021/12/9 0:34:31
18.64,15.7,73.88,'2021/12/9 0:34:32
18.6,15.63,73.86,'2021/12/9 0:34:33
18.64,15.67,74.32,'2021/12/9 0:34:34
18.6,15.63,73.72,'2021/12/9 0:34:35
18.63,15.67,74.12,'2021/12/9 0:34:36
18.64,15.68,73.6,'2021/12/9 0:34:37
18.63,15.7,73.86,'2021/12/9 0:34:38
18.6,15.64,73.73,'2021/12/9 0:34:39
18.6,15.69,73.84,'2021/12/9 0:34:40
18.6,15.67,73.6,'2021/12/9 0:34:41
18.6,15.67,73.86,'2021/12/9 0:34:42
18.6,15.67,73.79,'2021/12/9 0:34:43
18.6,15.67,73.86,'2021/12/9 0:34:44
18.6,15.63,73.86,'2021/12/9 0:34:45
18.64,15.67,73.86,'2021/12/9 0:34:46
18.57,15.67,73.74,'2021/12/9 0:34:47
18.64,15.63,73.41,'2021/12/9 0:34:48
18.6,15.7,73.99,'2021/12/9 0:34:49
18.6,15.67,73.62,'2021/12/9 0:34:50
18.6,15.67,74.14,'2021/12/9 0:34:51
18.6,15.67,73.6,'2021/12/9 0:34:53
18.6,15.67,73.86,'2021/12/9 0:34:56
18.6,15.63,73.71,'2021/12/9 0:34:58
18.64,15.7,73.35,'2021/12/9 0:34:58
18.6,15.67,73.6,'2021/12/9 0:34:58
18.6,15.67,73.75,'2021/12/9 0:34:59
18.6,15.7,73.86,'2021/12/9 0:34:59
18.65,15.67,73.96,'2021/12/9 0:35:00
18.64,15.7,73.86,'2021/12/9 0:35:01
18.64,15.67,73.86,'2021/12/9 0:35:02
18.64,15.7,73.6,'2021/12/9 0:35:03
18.64,15.7,73.62,'2021/12/9 0:35:04
18.6,15.7,74.04,'2021/12/9 0:35:05
18.6,15.67,73.6,'2021/12/9 0:35:06
18.64,15.67,73.47,'2021/12/9 0:35:07
18.64,15.67,73.6,'2021/12/9 0:35:08
18.64,15.7,73.86,'2021/12/9 0:35:09
18.6,15.67,73.86,'2021/12/9 0:35:10
18.64,15.63,73.6,'2021/12/9 0:35:11
18.62,15.68,73.88,'2021/12/9 0:35:12
18.6,15.67,73.6,'2021/12/9 0:35:13
18.6,15.67,73.69,'2021/12/9 0:35:14
18.64,15.67,73.6,'2021/12/9 0:35:15
18.6,15.67,73.31,'2021/12/9 0:35:16
18.6,15.67,73.86,'2021/12/9 0:35:17
18.64,15.67,73.77,'2021/12/9 0:35:18
18.64,15.67,73.86,'2021/12/9 0:35:19
18.64,15.67,73.97,'2021/12/9 0:35:20
18.6,15.67,73.75,'2021/12/9 0:35:21
18.64,15.67,74.14,'2021/12/9 0:35:22
18.64,15.67,73.7,'2021/12/9 0:35:23
18.6,15.7,73.69,'2021/12/9 0:35:24
18.64,15.67,73.6,'2021/12/9 0:35:25
18.64,15.7,73.97,'2021/12/9 0:35:26
18.63,15.67,73.68,'2021/12/9 0:35:27
18.64,15.67,73.69,'2021/12/9 0:35:28
18.6,15.7,73.6,'2021/12/9 0:35:29
18.64,15.67,74.08,'2021/12/9 0:35:30
18.64,15.67,73.79,'2021/12/9 0:35:31
18.64,15.67,74.12,'2021/12/9 0:35:32
18.64,15.7,73.96,'2021/12/9 0:35:33
18.64,15.67,73.68,'2021/12/9 0:35:34
18.67,15.67,73.45,'2021/12/9 0:35:35
18.64,15.69,73.85,'2021/12/9 0:35:36
18.61,15.67,73.6,'2021/12/9 0:35:37
18.64,15.67,73.7,'2021/12/9 0:35:38
18.64,15.64,73.88,'2021/12/9 0:35:39
18.6,15.7,74.14,'2021/12/9 0:35:40
18.64,15.7,73.81,'2021/12/9 0:35:41
18.64,15.67,73.88,'2021/12/9 0:35:42
18.7,15.69,74.07,'2021/12/9 0:35:43
18.64,15.7,73.88,'2021/12/9 0:35:44
18.63,15.7,73.34,'2021/12/9 0:35:45
18.64,15.67,73.84,'2021/12/9 0:35:46
18.64,15.67,73.92,'2021/12/9 0:35:47
18.64,15.67,74.17,'2021/12/9 0:35:48
18.64,15.67,74.12,'2021/12/9 0:35:49
18.64,15.7,73.6,'2021/12/9 0:35:50
18.6,15.67,74.02,'2021/12/9 0:35:51
18.64,15.67,74.14,'2021/12/9 0:35:52
18.6,15.67,73.73,'2021/12/9 0:35:53
18.64,15.7,74.01,'2021/12/9 0:35:54
18.6,15.7,73.6,'2021/12/9 0:35:55
18.64,15.68,73.81,'2021/12/9 0:35:56
18.66,15.7,73.88,'2021/12/9 0:35:57
18.64,15.67,73.86,'2021/12/9 0:35:58
18.6,15.7,73.6,'2021/12/9 0:35:59
18.64,15.67,73.6,'2021/12/9 0:36:00
18.6,15.7,73.87,'2021/12/9 0:36:01
18.6,15.67,74.04,'2021/12/9 0:36:02
18.6,15.7,74.14,'2021/12/9 0:36:03
18.6,15.67,73.81,'2021/12/9 0:36:04
18.6,15.7,74.01,'2021/12/9 0:36:05
18.6,15.67,73.88,'2021/12/9 0:36:06
18.64,15.7,73.86,'2021/12/9 0:36:07
18.6,15.67,73.6,'2021/12/9 0:36:08
18.6,15.67,74.14,'2021/12/9 0:36:09
18.6,15.7,74.14,'2021/12/9 0:36:10
18.64,15.7,74.09,'2021/12/9 0:36:11
18.67,15.7,74.14,'2021/12/9 0:36:12
18.61,15.7,73.86,'2021/12/9 0:36:13
18.64,15.7,74.31,'2021/12/9 0:36:14
18.64,15.67,73.86,'2021/12/9 0:36:15
18.64,15.7,73.67,'2021/12/9 0:36:16
18.6,15.67,73.88,'2021/12/9 0:36:17
18.64,15.7,73.97,'2021/12/9 0:36:18
18.64,15.7,74.14,'2021/12/9 0:36:19
18.64,15.67,73.92,'2021/12/9 0:36:20
18.64,15.67,73.81,'2021/12/9 0:36:21
18.6,15.7,73.94,'2021/12/9 0:36:22
18.64,15.7,73.99,'2021/12/9 0:36:23
18.6,15.7,74.16,'2021/12/9 0:36:24
18.64,15.7,73.88,'2021/12/9 0:36:25
18.64,15.73,73.88,'2021/12/9 0:36:26
18.6,15.7,73.88,'2021/12/9 0:36:27
18.6,15.7,73.86,'2021/12/9 0:36:28
18.6,15.67,73.75,'2021/12/9 0:36:29
18.64,15.7,73.92,'2021/12/9 0:36:30
18.64,15.7,74.14,'2021/12/9 0:36:31
18.64,15.67,74.14,'2021/12/9 0:36:32
18.63,15.67,73.88,'2021/12/9 0:36:33
18.64,15.7,74.07,'2021/12/9 0:36:34
18.64,15.7,73.6,'2021/12/9 0:36:36
18.64,15.67,74.14,'2021/12/9 0:36:37
18.64,15.7,73.86,'2021/12/9 0:36:38
18.6,15.67,74.43,'2021/12/9 0:36:39
18.6,15.7,73.88,'2021/12/9 0:36:40
18.64,15.7,74.14,'2021/12/9 0:36:41
18.6,15.7,74.14,'2021/12/9 0:36:42
18.6,15.67,73.6,'2021/12/9 0:36:43
18.6,15.7,73.88,'2021/12/9 0:36:44
18.6,15.68,74.03,'2021/12/9 0:36:45
18.6,15.7,73.86,'2021/12/9 0:36:46
18.62,15.7,74.14,'2021/12/9 0:36:47
18.6,15.7,74.04,'2021/12/9 0:36:48
18.64,15.7,73.88,'2021/12/9 0:36:49
18.6,15.67,74.14,'2021/12/9 0:36:50
18.64,15.69,73.75,'2021/12/9 0:36:51
18.64,15.73,74.14,'2021/12/9 0:36:52
18.64,15.7,73.88,'2021/12/9 0:36:53
18.64,15.69,73.88,'2021/12/9 0:36:54
18.64,15.65,74.01,'2021/12/9 0:36:55
18.6,15.7,73.88,'2021/12/9 0:36:56
18.61,15.7,73.6,'2021/12/9 0:36:57
18.6,15.7,73.88,'2021/12/9 0:36:58
18.6,15.73,73.88,'2021/12/9 0:36:59
18.6,15.7,73.88,'2021/12/9 0:37:00
18.64,15.71,73.77,'2021/12/9 0:37:01
18.64,15.67,73.6,'2021/12/9 0:37:02
18.67,15.7,74,'2021/12/9 0:37:03
18.64,15.72,74.14,'2021/12/9 0:37:04
18.64,15.7,74.01,'2021/12/9 0:37:05
18.64,15.72,73.6,'2021/12/9 0:37:06
18.6,15.7,74.16,'2021/12/9 0:37:07
18.64,15.7,74.14,'2021/12/9 0:37:08
18.6,15.7,74.25,'2021/12/9 0:37:09
18.6,15.7,74.14,'2021/12/9 0:37:10
18.64,15.73,74.14,'2021/12/9 0:37:11
18.6,15.67,74.14,'2021/12/9 0:37:12
18.61,15.7,73.65,'2021/12/9 0:37:13
18.6,15.7,73.69,'2021/12/9 0:37:14
18.6,15.73,74,'2021/12/9 0:37:15
18.6,15.7,73.86,'2021/12/9 0:37:16
18.64,15.7,74.14,'2021/12/9 0:37:17
18.64,15.7,73.99,'2021/12/9 0:37:18
18.64,15.67,73.83,'2021/12/9 0:37:19
18.6,15.73,73.6,'2021/12/9 0:37:20
18.64,15.72,73.88,'2021/12/9 0:37:21
18.6,15.7,74,'2021/12/9 0:37:22
18.63,15.7,74.14,'2021/12/9 0:37:23
18.6,15.7,73.6,'2021/12/9 0:37:24
18.61,15.7,74.14,'2021/12/9 0:37:25
18.6,15.67,74.29,'2021/12/9 0:37:26
18.6,15.7,74.16,'2021/12/9 0:37:27
18.64,15.73,73.96,'2021/12/9 0:37:28
18.6,15.7,74.43,'2021/12/9 0:37:29
18.6,15.7,73.7,'2021/12/9 0:37:30
18.6,15.7,73.79,'2021/12/9 0:37:31
18.64,15.67,74.36,'2021/12/9 0:37:32
18.64,15.7,73.83,'2021/12/9 0:37:33
18.6,15.73,74.03,'2021/12/9 0:37:34
18.6,15.7,73.97,'2021/12/9 0:37:35
18.6,15.7,73.6,'2021/12/9 0:37:36
18.64,15.7,74.14,'2021/12/9 0:37:37
18.6,15.69,74.1,'2021/12/9 0:37:38
18.57,15.67,74.28,'2021/12/9 0:37:39
18.6,15.7,73.94,'2021/12/9 0:37:40
18.62,15.7,73.62,'2021/12/9 0:37:41
18.6,15.67,73.86,'2021/12/9 0:37:42
18.64,15.7,74.14,'2021/12/9 0:37:43
18.6,15.67,74.14,'2021/12/9 0:37:44
18.6,15.7,74.14,'2021/12/9 0:37:45
18.6,15.7,74.14,'2021/12/9 0:37:46
18.6,15.73,74.24,'2021/12/9 0:37:47
18.64,15.67,74.14,'2021/12/9 0:37:48
18.6,15.7,74.14,'2021/12/9 0:37:49
18.6,15.64,73.6,'2021/12/9 0:37:50
18.6,15.7,73.7,'2021/12/9 0:37:51
18.6,15.67,73.98,'2021/12/9 0:37:52
18.64,15.67,73.88,'2021/12/9 0:37:53
18.6,15.7,73.86,'2021/12/9 0:37:54
18.57,15.7,73.86,'2021/12/9 0:37:55
18.61,15.67,74.14,'2021/12/9 0:37:56
18.6,15.67,73.6,'2021/12/9 0:37:57
18.6,15.67,74.14,'2021/12/9 0:37:58
18.6,15.7,73.86,'2021/12/9 0:37:59
18.62,15.66,73.86,'2021/12/9 0:38:00
18.63,15.67,74.14,'2021/12/9 0:38:01
18.6,15.68,74.14,'2021/12/9 0:38:02
18.6,15.67,73.8,'2021/12/9 0:38:03
18.6,15.7,73.86,'2021/12/9 0:38:04
18.6,15.67,73.77,'2021/12/9 0:38:05
18.57,15.67,74.1,'2021/12/9 0:38:06
18.6,15.7,73.86,'2021/12/9 0:38:07
18.6,15.7,73.77,'2021/12/9 0:38:08
18.6,15.7,73.9,'2021/12/9 0:38:09
18.6,15.7,73.86,'2021/12/9 0:38:10
18.57,15.7,73.75,'2021/12/9 0:38:11
18.6,15.67,74.41,'2021/12/9 0:38:12
18.6,15.67,74.05,'2021/12/9 0:38:13
18.6,15.67,73.82,'2021/12/9 0:38:14
18.57,15.67,73.94,'2021/12/9 0:38:16
18.6,15.7,74.41,'2021/12/9 0:38:17
18.6,15.63,74.1,'2021/12/9 0:38:18
18.6,15.7,73.86,'2021/12/9 0:38:19
18.6,15.7,74.14,'2021/12/9 0:38:20
18.64,15.7,73.86,'2021/12/9 0:38:21
18.63,15.67,74.08,'2021/12/9 0:38:22
18.6,15.68,73.86,'2021/12/9 0:38:23
18.6,15.73,73.86,'2021/12/9 0:38:24
18.6,15.7,73.8,'2021/12/9 0:38:25
18.6,15.7,74.16,'2021/12/9 0:38:26
18.58,15.7,73.6,'2021/12/9 0:38:27
18.6,15.67,74.14,'2021/12/9 0:38:28
18.6,15.67,74.25,'2021/12/9 0:38:29
18.57,15.7,74.14,'2021/12/9 0:38:30
