T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:00:15
26,26.2,100,100,100,100,100,100,'2021/9/1 9:00:20
26,26.2,100,100,100,100,100,100,'2021/9/1 9:00:25
26,26.2,100,100,100,100,100,100,'2021/9/1 9:00:30
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:00:35
26,26.2,100,100,100,100,100,100,'2021/9/1 9:00:40
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:00:45
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:00:50
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:00:55
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:00
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:05
26,26.2,100,100,100,100,100,100,'2021/9/1 9:01:10
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:15
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:20
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:26
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:30
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:36
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:41
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:46
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:51
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:01:56
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:02:01
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:02:06
26,26.2,100,100,100,100,100,100,'2021/9/1 9:02:11
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:02:16
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:02:21
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:02:26
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:02:31
26,26.2,100,100,100,100,100,100,'2021/9/1 9:02:36
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:02:41
