T1,T2,RH,time
20.02,17.59,79.06,'2021/12/9 9:20:28
20.02,17.59,79.12,'2021/12/9 9:20:29
20.01,17.59,78.95,'2021/12/9 9:20:30
20.02,17.56,78.95,'2021/12/9 9:20:31
20.02,17.59,78.95,'2021/12/9 9:20:32
20.02,17.59,78.95,'2021/12/9 9:20:33
20.02,17.59,78.95,'2021/12/9 9:20:34
20.02,17.59,79.21,'2021/12/9 9:20:35
19.99,17.59,78.87,'2021/12/9 9:20:36
19.99,17.59,79.23,'2021/12/9 9:20:37
19.99,17.59,78.41,'2021/12/9 9:20:38
20.02,17.59,78.82,'2021/12/9 9:20:39
20.02,17.57,78.71,'2021/12/9 9:20:40
20.02,17.59,78.91,'2021/12/9 9:20:41
20.02,17.59,79.21,'2021/12/9 9:20:42
20.02,17.62,78.95,'2021/12/9 9:20:43
20.02,17.59,78.71,'2021/12/9 9:20:44
20.03,17.59,78.9,'2021/12/9 9:20:45
20.02,17.59,79.07,'2021/12/9 9:20:46
20.06,17.59,79.23,'2021/12/9 9:20:47
20.02,17.59,78.95,'2021/12/9 9:20:48
20.02,17.62,78.85,'2021/12/9 9:20:49
20.02,17.59,78.95,'2021/12/9 9:20:50
20.02,17.59,79.13,'2021/12/9 9:20:51
20.02,17.59,78.95,'2021/12/9 9:20:52
20.02,17.59,79.23,'2021/12/9 9:20:53
20.02,17.61,78.95,'2021/12/9 9:20:54
19.99,17.56,79.16,'2021/12/9 9:20:55
19.99,17.57,78.67,'2021/12/9 9:20:56
20.02,17.59,79.21,'2021/12/9 9:20:57
20.02,17.59,78.95,'2021/12/9 9:20:58
20.02,17.56,78.68,'2021/12/9 9:20:59
20.02,17.62,78.67,'2021/12/9 9:21:00
20.02,17.59,79,'2021/12/9 9:21:01
19.99,17.59,78.53,'2021/12/9 9:21:02
19.99,17.59,78.77,'2021/12/9 9:21:03
20.02,17.59,78.99,'2021/12/9 9:21:04
20.02,17.56,78.95,'2021/12/9 9:21:05
20,17.59,78.95,'2021/12/9 9:21:06
20.02,17.59,78.95,'2021/12/9 9:21:07
20.02,17.62,78.95,'2021/12/9 9:21:08
20.02,17.59,78.83,'2021/12/9 9:21:10
20.02,17.59,78.95,'2021/12/9 9:21:11
20.06,17.56,78.68,'2021/12/9 9:21:12
20.02,17.59,79.12,'2021/12/9 9:21:13
19.99,17.59,78.78,'2021/12/9 9:21:14
20.06,17.59,78.96,'2021/12/9 9:21:15
20.06,17.62,79.23,'2021/12/9 9:21:16
20.05,17.59,78.68,'2021/12/9 9:21:17
20.06,17.59,78.68,'2021/12/9 9:21:20
20.06,17.59,79.13,'2021/12/9 9:21:20
20.03,17.6,78.68,'2021/12/9 9:21:20
20.06,17.59,78.95,'2021/12/9 9:21:21
20.06,17.59,78.95,'2021/12/9 9:21:22
20.02,17.62,78.68,'2021/12/9 9:21:23
20.06,17.62,78.73,'2021/12/9 9:21:24
20.06,17.62,78.96,'2021/12/9 9:21:27
20.06,17.62,79.1,'2021/12/9 9:21:27
20.06,17.62,78.96,'2021/12/9 9:21:27
20.06,17.66,78.68,'2021/12/9 9:21:28
20.09,17.59,78.96,'2021/12/9 9:21:29
20.06,17.62,78.7,'2021/12/9 9:21:30
20.06,17.62,78.96,'2021/12/9 9:21:31
20.06,17.62,78.68,'2021/12/9 9:21:32
20.02,17.59,79.23,'2021/12/9 9:21:33
20.02,17.59,78.7,'2021/12/9 9:21:34
20.02,17.59,78.42,'2021/12/9 9:21:35
20.06,17.62,78.68,'2021/12/9 9:21:36
20.06,17.62,78.96,'2021/12/9 9:21:37
20.06,17.59,78.96,'2021/12/9 9:21:38
20.06,17.62,78.84,'2021/12/9 9:21:39
20.06,17.62,79.24,'2021/12/9 9:21:40
20.06,17.62,78.94,'2021/12/9 9:21:41
20.06,17.62,78.96,'2021/12/9 9:21:42
20.06,17.62,78.97,'2021/12/9 9:21:43
20.06,17.62,78.85,'2021/12/9 9:21:44
20.06,17.64,78.73,'2021/12/9 9:21:45
20.04,17.66,78.68,'2021/12/9 9:21:46
20.02,17.59,78.96,'2021/12/9 9:21:47
20.06,17.66,78.96,'2021/12/9 9:21:48
20.06,17.62,78.81,'2021/12/9 9:21:49
20.06,17.66,78.96,'2021/12/9 9:21:50
20.06,17.62,78.8,'2021/12/9 9:21:51
20.06,17.62,79.51,'2021/12/9 9:21:52
20.02,17.65,79.24,'2021/12/9 9:21:53
20.02,17.62,79.51,'2021/12/9 9:21:54
20.02,17.62,79.26,'2021/12/9 9:21:55
20.02,17.62,79.23,'2021/12/9 9:21:56
20.06,17.62,79.09,'2021/12/9 9:21:57
20.06,17.62,78.96,'2021/12/9 9:21:58
20.06,17.66,79.74,'2021/12/9 9:21:59
20.02,17.62,79.23,'2021/12/9 9:22:00
20.02,17.62,79.22,'2021/12/9 9:22:01
20.06,17.66,78.96,'2021/12/9 9:22:02
20.02,17.62,79.77,'2021/12/9 9:22:03
20.03,17.62,79.23,'2021/12/9 9:22:04
20.04,17.66,79.26,'2021/12/9 9:22:05
20.06,17.62,79.37,'2021/12/9 9:22:06
20.02,17.62,79.32,'2021/12/9 9:22:07
20.06,17.66,79.77,'2021/12/9 9:22:08
19.99,17.62,79.28,'2021/12/9 9:22:11
20.02,17.62,79.51,'2021/12/9 9:22:11
20.06,17.62,79.23,'2021/12/9 9:22:12
20.02,17.62,79.23,'2021/12/9 9:22:12
20.02,17.66,79.51,'2021/12/9 9:22:13
20.02,17.62,78.68,'2021/12/9 9:22:14
20.02,17.62,79.23,'2021/12/9 9:22:15
20.02,17.66,79.46,'2021/12/9 9:22:16
20.02,17.66,79.39,'2021/12/9 9:22:17
20.02,17.62,79.25,'2021/12/9 9:22:18
20.02,17.59,79.49,'2021/12/9 9:22:19
20.02,17.66,79.44,'2021/12/9 9:22:20
19.99,17.62,79.49,'2021/12/9 9:22:21
19.99,17.66,79.23,'2021/12/9 9:22:22
20.02,17.66,79.42,'2021/12/9 9:22:23
20,17.62,79.77,'2021/12/9 9:22:24
19.99,17.62,79.32,'2021/12/9 9:22:25
20.01,17.66,79.49,'2021/12/9 9:22:26
20.02,17.62,79.49,'2021/12/9 9:22:29
19.99,17.62,80.01,'2021/12/9 9:22:30
19.98,17.66,79.49,'2021/12/9 9:22:30
19.99,17.66,79.49,'2021/12/9 9:22:30
19.99,17.62,80.03,'2021/12/9 9:22:31
19.99,17.62,79.74,'2021/12/9 9:22:32
19.95,17.62,79.66,'2021/12/9 9:22:33
20.02,17.62,79.71,'2021/12/9 9:22:34
19.99,17.64,79.77,'2021/12/9 9:22:35
19.95,17.66,79.36,'2021/12/9 9:22:36
19.99,17.62,79.77,'2021/12/9 9:22:37
19.96,17.62,79.49,'2021/12/9 9:22:38
19.95,17.61,79.71,'2021/12/9 9:22:39
19.95,17.66,79.21,'2021/12/9 9:22:40
19.99,17.66,79.3,'2021/12/9 9:22:41
